year,health_female
2008,78.0440362630324
2009,78.4956094426853
2010,78.9439607116735
2011,79.3914827161526
2012,79.8408575096257
2013,80.1075524945435
2014,80.3737574284495
2015,80.6392820484477
2016,80.908877236611
2017,81.178398671599
2018,81.3423690539282
