,WLD
YR2008,46.7015335291701
YR2009,46.1737805860398
YR2010,45.8047260635537
YR2011,45.5681532094454
YR2012,45.3177895500938
YR2013,45.1135878708516
YR2014,44.9767190946007
YR2015,44.8569629991835
YR2016,44.7147839699224
YR2017,44.6954167242574
YR2018,44.6961750760471
