,WLD
YR2008,89.62576
YR2009,89.35312
YR2010,89.33354
YR2011,89.20291
YR2012,89.76498
YR2013,89.74011
YR2014,90.0623
YR2015,90.10014
YR2016,90.42638
YR2017,90.28247
YR2018,90.53157
