year,health_male
2008,69.919576079512
2009,70.3830075236204
2010,70.8425078709997
2011,71.2985330785414
2012,71.7564302448353
2013,72.0970836278725
2014,72.4364791586244
2015,72.773442293829
2016,73.1140933219207
2017,73.4530214604513
2018,73.6711105077455
