,WLD
YR2008,72.643381639972
YR2009,71.8707559727018
YR2010,71.729386173132
YR2011,71.6741048168337
YR2012,71.5493943184194
YR2013,71.297555161315
YR2014,71.1430377529207
YR2015,70.9539761053331
YR2016,70.6888941556574
YR2017,70.5968320078288
YR2018,70.5512581547552
