,WLD
YR2008,87.62318
YR2009,87.85407
YR2010,87.88409
YR2011,88.06601
YR2012,88.19405
YR2013,88.20248
YR2014,88.33011
YR2015,88.17368
YR2016,88.33632
YR2017,88.17059
YR2018,88.2163
